mode: set
slack-buddy-ai/pkg/slack/client.go:22.47,24.50 1 1
slack-buddy-ai/pkg/slack/client.go:24.50,26.3 1 1
slack-buddy-ai/pkg/slack/client.go:28.2,31.16 3 1
slack-buddy-ai/pkg/slack/client.go:31.16,33.3 1 1
slack-buddy-ai/pkg/slack/client.go:35.2,36.31 2 0
slack-buddy-ai/pkg/slack/client.go:40.54,41.16 1 1
slack-buddy-ai/pkg/slack/client.go:41.16,43.3 1 1
slack-buddy-ai/pkg/slack/client.go:45.2,46.16 2 1
slack-buddy-ai/pkg/slack/client.go:46.16,48.3 1 1
slack-buddy-ai/pkg/slack/client.go:50.2,51.31 2 1
slack-buddy-ai/pkg/slack/client.go:54.69,59.16 2 1
slack-buddy-ai/pkg/slack/client.go:59.16,61.48 2 1
slack-buddy-ai/pkg/slack/client.go:61.48,63.4 1 1
slack-buddy-ai/pkg/slack/client.go:64.3,64.47 1 1
slack-buddy-ai/pkg/slack/client.go:64.47,66.4 1 1
slack-buddy-ai/pkg/slack/client.go:67.3,67.65 1 1
slack-buddy-ai/pkg/slack/client.go:70.2,71.30 2 1
slack-buddy-ai/pkg/slack/client.go:71.30,73.27 2 1
slack-buddy-ai/pkg/slack/client.go:73.27,80.4 1 1
slack-buddy-ai/pkg/slack/client.go:83.2,83.25 1 1
slack-buddy-ai/pkg/slack/client.go:86.91,89.24 2 1
slack-buddy-ai/pkg/slack/client.go:89.24,91.3 1 1
slack-buddy-ai/pkg/slack/client.go:91.8,93.3 1 1
slack-buddy-ai/pkg/slack/client.go:95.2,97.30 2 1
slack-buddy-ai/pkg/slack/client.go:97.30,99.23 2 1
slack-buddy-ai/pkg/slack/client.go:99.23,101.4 1 1
slack-buddy-ai/pkg/slack/client.go:102.3,102.28 1 1
slack-buddy-ai/pkg/slack/client.go:105.2,105.25 1 1
slack-buddy-ai/pkg/slack/client.go:108.61,110.53 1 1
slack-buddy-ai/pkg/slack/client.go:110.53,112.3 1 1
slack-buddy-ai/pkg/slack/client.go:114.2,117.16 3 1
slack-buddy-ai/pkg/slack/client.go:117.16,119.48 2 1
slack-buddy-ai/pkg/slack/client.go:119.48,121.4 1 1
slack-buddy-ai/pkg/slack/client.go:122.3,122.52 1 1
slack-buddy-ai/pkg/slack/client.go:122.52,124.4 1 1
slack-buddy-ai/pkg/slack/client.go:125.3,125.49 1 1
slack-buddy-ai/pkg/slack/client.go:125.49,127.4 1 1
slack-buddy-ai/pkg/slack/client.go:128.3,128.70 1 1
slack-buddy-ai/pkg/slack/client.go:131.2,131.12 1 1
slack-buddy-ai/pkg/slack/interface.go:20.50,24.2 1 1
