mode: atomic
slack-buddy-ai/main.go:14.13,16.2 1 0
slack-buddy-ai/pkg/logger/logger.go:14.13,22.15 4 1
slack-buddy-ai/pkg/logger/logger.go:23.15,24.34 1 0
slack-buddy-ai/pkg/logger/logger.go:25.14,26.33 1 0
slack-buddy-ai/pkg/logger/logger.go:27.15,28.34 1 0
slack-buddy-ai/pkg/logger/logger.go:29.10,30.33 1 1
slack-buddy-ai/pkg/logger/logger.go:34.2,35.22 2 1
slack-buddy-ai/pkg/logger/logger.go:35.22,39.3 1 0
slack-buddy-ai/pkg/logger/logger.go:39.8,45.3 1 1
slack-buddy-ai/pkg/logger/logger.go:49.33,51.2 1 1
slack-buddy-ai/pkg/logger/logger.go:54.53,56.2 1 1
slack-buddy-ai/pkg/logger/logger.go:59.61,61.2 1 1
slack-buddy-ai/pkg/logger/logger.go:64.23,66.2 1 1
slack-buddy-ai/pkg/logger/logger.go:69.24,71.2 1 1
slack-buddy-ai/pkg/logger/logger.go:74.23,76.2 1 1
slack-buddy-ai/pkg/logger/logger.go:79.24,81.2 1 1
slack-buddy-ai/pkg/logger/logger.go:84.24,86.2 1 0
slack-buddy-ai/pkg/slack/client.go:43.47,45.50 1 4
slack-buddy-ai/pkg/slack/client.go:45.50,47.3 1 3
slack-buddy-ai/pkg/slack/client.go:49.2,52.16 3 1
slack-buddy-ai/pkg/slack/client.go:52.16,54.3 1 1
slack-buddy-ai/pkg/slack/client.go:56.2,67.8 2 0
slack-buddy-ai/pkg/slack/client.go:71.54,72.16 1 28
slack-buddy-ai/pkg/slack/client.go:72.16,74.3 1 1
slack-buddy-ai/pkg/slack/client.go:76.2,77.16 2 27
slack-buddy-ai/pkg/slack/client.go:77.16,79.3 1 1
slack-buddy-ai/pkg/slack/client.go:81.2,92.8 2 26
slack-buddy-ai/pkg/slack/client.go:95.56,104.25 6 42
slack-buddy-ai/pkg/slack/client.go:104.25,107.31 3 3
slack-buddy-ai/pkg/slack/client.go:107.31,109.4 1 0
slack-buddy-ai/pkg/slack/client.go:112.2,112.37 1 42
slack-buddy-ai/pkg/slack/client.go:112.37,119.10 3 18
slack-buddy-ai/pkg/slack/client.go:120.21,121.20 1 1
slack-buddy-ai/pkg/slack/client.go:122.32,122.32 0 17
slack-buddy-ai/pkg/slack/client.go:126.2,127.12 2 41
slack-buddy-ai/pkg/slack/client.go:130.36,135.25 3 29
slack-buddy-ai/pkg/slack/client.go:135.25,138.3 2 2
slack-buddy-ai/pkg/slack/client.go:141.43,146.25 4 12
slack-buddy-ai/pkg/slack/client.go:146.25,148.3 1 4
slack-buddy-ai/pkg/slack/client.go:150.2,150.118 1 12
slack-buddy-ai/pkg/slack/client.go:153.69,160.48 4 11
slack-buddy-ai/pkg/slack/client.go:160.48,162.3 1 0
slack-buddy-ai/pkg/slack/client.go:164.2,168.16 2 11
slack-buddy-ai/pkg/slack/client.go:168.16,176.47 3 4
slack-buddy-ai/pkg/slack/client.go:176.47,179.4 2 1
slack-buddy-ai/pkg/slack/client.go:181.3,181.48 1 3
